,war_name,winner_list,losser_list,location
205,Battle of Antioch (613),"Byzantine Empire,","Sasanian Empire,","Antioch, Byzantine Empire,Turkey, , circular reference,"
206,Sasanian conquest of Jerusalem,"Byzantine Empire,","Sasanian Empire, Jewish,","Jerusalem,Palestine, Diocese of the East, Byzantine Empire,"
207,Battle of Bayrudh,"Rashidun Caliphate,","Sasanian Empire,","Hormizd-Ardashir,"
208,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
209,Battle of Bishapur (643–644),"Sasanian Empire,","Rashidun Caliphate,","Fars,"
210,Battle of Rasil,"United Kingdom,","Rashidun Caliphate,","Indus river, Sindh,Pakistan,"
211,Goguryeo–Tang War,"Taiwan, Silla,","Goguryeo, Baekje, Yamato, Mohe,","Liaodong Peninsula, Korean Peninsula, Bohai Sea, Yellow Sea,"
212,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
213,Battle of Nikiou,"Rashidun Caliphate,","Byzantine Empire,","Zawyat Razin,Mongolia,Egypt,"
214,Battle of Sufetula,"Rashidun Caliphate,","Byzantine Empire,","Sufetula,Tunisia,"
215,Battle of Balanjar (650s),"Khazar, Khaganate,","Islamic, Caliphate,","Balanjar,"
216,Battle of Ray,"Rashidun Caliphate, House of Ispahbudhan,","Sasanian Empire, House of Mihran,","Ray,Iran,"
217,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
218,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
219,Battle of Nishapur,"Rashidun Caliphate, Kanārangīyāns,","House of Karen,","Nishapur,Iran,"
220,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
221,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
222,Battle of the Masts,"Rashidun Caliphate,","Romania,","Lycian coast, Phoenice, Mediterranean Sea,"
223,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
224,Battle of the Winwaed,"Northumbrian Kingdom of Bernicia,","Kingdom of Mercia, Kingdom of East Anglia,","Cock Beck, Yorkshire,"
225,Battle of the Camel,"Banu Hashim, Kufa, Banu Abdul Qays, Banu Bakr, Tayy,","Banu Umayya, Quraysh, Banu Tamim, Azd, ""Banu Amir"",","Bulgaria,Iraq,"
226,Battle of Irtysh River,"Tang Dynasty,","Western Turkic Khaganate,","Irtysh River,"
227,Battle of Siffin,"Algeria,","""Muawiya"",","Syria,"
228,Battle of Hwangsanbeol,"Syria,","Baekje,","Hwangsanbeol, Baekje, Nonsan, South Chungcheong Province,South Korea,"
229,Battle of Baekgang,"China, Silla,","Yamato Japan, Baekje,","Geum River,South Korea,"
230,Goguryeo–Tang War,"Taiwan, Silla,","Goguryeo, Baekje, Yamato, Mohe,","Liaodong Peninsula, Korean Peninsula, Bohai Sea, Yellow Sea,"
231,Battle of Dafei River,"Tibetan Empire,","Tang dynasty,","Qinghai Lake,"
232,Siege of Constantinople (674–678),"Umayyad Caliphate,","Byzantine Empire,","Constantinople, Sea of Marmara,"
233,Battle of Maeso,"Syria,","Taiwan,","Yeoncheon County,South Korea,"
234,Battle of Ongal,"Bulgaria, Seven Slavic tribes,","Byzantine Empire,","Danube delta, Tulcea County,Romania,"
235,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
236,Battle of Vescera,"Umayyad Caliphate,","Byzantine Empire, Berbers,","Thabudeos, Vescera,"
237,Siege of Mecca (683),"Umayyad Caliphate,","Zubayrid,","Mecca,"
238,Battle of Marj Rahit (684),"Umayyad Caliphate, Banu Kalb, Kindites, Ghassanids, Banu Tayy, Banu al-Qayn, Tanukhids,","Zubayrid, Qays, Banu Sulaym, ""Banu Amir"", Banu Dhubyan, Himyarites, Ansar, Banu Judham,","Damascus,"
239,Battle of Ayn al-Warda,"Umayyad Caliphate,","Penitents, Alids,","Ras al-Ayn,"
240,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
241,Battles of Madhar and Harura,"Zubayrid Caliphate,","Alid, Mukhtar al-Thaqafi,","Bulgaria, Kufa,"
242,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
243,Battle of Tertry,"Australia,","Austria,Burundi,","Tertry, Somme,"
244,Battle of Mamma,"Umayyad Caliphate,","Kingdom of Altava,","Timgad, Aurès Mountains,Algeria,"
245,Battle of Coronate,"Lombard Neustria,","Austria,","""Cornate dAdda"", Lombardy,"
246,Battle of Maskin,"non-state,","Zubayrid Caliphate,","Baghdad,"
247,Siege of Mecca (692),"Umayyad Caliphate,","Zubayrids,","Mecca,"
248,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
249,Battle of Dorestad,"France,","Frisians,","Dorestad,"
250,Battle of Carthage (698),"Umayyad Caliphate,","Eastern Roman Empire,","Carthage,"
251,Battle of Degsastan,"Benin,","Dál Riatans,","Liddesdale,Poland,"
252,Battle of Dhi Qar,"Sassanid Persia,","Banu Bakr, Banu Ijl, Banu Yashkur, Banu Dhuhl,","Sasanian Empire, Dhi Qar,South Korea,"
253,Battle of Tabarka,"Umayyad Caliphate,","non-state,","Tabarka,"
254,Siege of Tyana,"Byzantine Empire,","Umayyad Dynasty,","Guyana, Cappadocia,"
255,Battle of Anchialus (708),"Bulgaria,","Byzantine Empire,","Anchialus,"
256,Battle of Guadalete,"United Kingdom,","Umayyad Caliphate,","Liberia,"
257,Battle of Tabarka,"Umayyad Caliphate,","non-state,","Tabarka,"
258,Siege of Tyana,"Byzantine Empire,","Umayyad Dynasty,","Guyana, Cappadocia,"
259,Battle of Tabarka,"Umayyad Caliphate,","non-state,","Tabarka,"
260,Battle of Tabarka,"Umayyad Caliphate,","non-state,","Tabarka,"
261,Siege of Tyana,"Byzantine Empire,","Umayyad Dynasty,","Guyana, Cappadocia,"
262,Battle of Tabarka,"Umayyad Caliphate,","non-state,","Tabarka,"
263,Battle of Toulouse (721),"Duchy of Aquitaine,","Umayyad Caliphate,","Toulouse, Duchy of Aquitaine,France,"
264,Battle of Hehil,"West Britons,","West Saxons,","among the Cornish,"
265,Battle of Balanjar (723),"Khazar, Khaganate,","Umayyad Caliphate,","Balanjar,"
266,Day of Thirst,"Umayyad Caliphate,","Türgesh, Khaganate,","Bhutan,Tajikistan,"
267,Siege of Nicaea (727),"Byzantine Empire,","Umayyad Caliphate,","Nicaragua,Lithuania,"
268,Battle of Baykand,"Umayyad Caliphate,","Türgesh,","Baykand, uz,Bulgaria,Uzbekistan,"
269,Battle of Tabarka,"Umayyad Caliphate,","non-state,","Tabarka,"
270,Siege of Tyana,"Byzantine Empire,","Umayyad Dynasty,","Guyana, Cappadocia,"
271,Battle of Marj Ardabil,"Khazar, Khaganate,","Umayyad Caliphate,","Brazil,"
272,Battle of Tabarka,"Umayyad Caliphate,","non-state,","Tabarka,"
273,Battle of Balanjar (730s),"Khazar, Khaganate,","Umayyad Caliphate,","Balanjar,"
274,Battle of Tabarka,"Umayyad Caliphate,","non-state,","Tabarka,"
275,Battle of the Boarn,"Frankish Empire,","Frisian kingdom,","Netherlands,"
